주소,재산피해소계
경기도 동두천시 동두천동,87918
경기도 동두천시 상패동,44297
경기도 동두천시 송내동,27845
경기도 동두천시 탑동동,629
경기도 동두천시 하봉암동,1351
경기도 부천시 괴안동,98708
경기도 부천시 내동,204489
경기도 부천시 대장동,100
경기도 부천시 도당동,99663
경기도 부천시 삼정동,150541
경기도 부천시 소사본동,20734
경기도 부천시 송내동,3339
경기도 부천시 심곡동,2096
경기도 부천시 약대동,33620
경기도 부천시 여월동,2868
경기도 부천시 역곡동,1061
경기도 부천시 오정동,100705
경기도 부천시 원미동,598
경기도 부천시 원종동,6199
경기도 부천시 춘의동,5552
경기도 성남시수정구 금토동,12893
경기도 성남시수정구 복정동,81305
경기도 성남시수정구 사송동,113275
경기도 성남시수정구 수진동,218
경기도 성남시수정구 시흥동,30131
경기도 성남시수정구 창곡동,237
경기도 성남시수정구 태평동,844
경기도 성남시중원구 갈현동,379
경기도 성남시중원구 금광동,778
경기도 성남시중원구 상대원동,39222
경기도 성남시중원구 성남동,3574
경기도 성남시중원구 하대원동,863
경기도 수원시권선구 고색동,2420
경기도 수원시권선구 곡반정동,10700
경기도 수원시권선구 구운동,173
경기도 수원시권선구 당수동,133
경기도 수원시권선구 오목천동,164463
경기도 수원시권선구 탑동,8759
경기도 수원시영통구 신동,75723
경기도 수원시영통구 원천동,2543721
경기도 수원시장안구 이목동,36268
경기도 수원시팔달구 지동,104125
경기도 시흥시 계수동,583455
경기도 시흥시 과림동,229942
경기도 시흥시 광석동,296251
경기도 시흥시 금이동,33671
경기도 시흥시 대야동,655180
경기도 시흥시 도창동,912951
경기도 시흥시 매화동,200
경기도 시흥시 목감동,57448
경기도 시흥시 무지내동,99250
경기도 시흥시 물왕동,432
경기도 시흥시 미산동,509650
경기도 시흥시 방산동,117718
경기도 시흥시 신천동,100681
경기도 시흥시 안현동,25448
경기도 시흥시 장곡동,2261
경기도 시흥시 정왕동,604087
경기도 시흥시 조남동,147335
경기도 시흥시 포동,6235
경기도 안산시단원구 고잔동,27095
경기도 안산시단원구 대부남동,1597
경기도 안산시단원구 대부동동,15951
경기도 안산시단원구 대부북동,11215
경기도 안산시단원구 목내동,899775
경기도 안산시단원구 선감동,839
경기도 안산시단원구 선부동,444426
경기도 안산시단원구 성곡동,944726
경기도 안산시단원구 신길동,58138
경기도 안산시단원구 원곡동,1142
경기도 안산시단원구 원시동,186009
경기도 안산시단원구 초지동,38244
경기도 안산시단원구 화정동,7144
경기도 안산시상록구 본오동,1042
경기도 안산시상록구 사동,1904
경기도 안산시상록구 사사동,2334
경기도 안산시상록구 장상동,54729
경기도 안산시상록구 장하동,87922
경기도 안산시상록구 팔곡일동,62689
경기도 안성시 고삼면,13562
경기도 안성시 공도읍,11600
경기도 안성시 금광면,12067
경기도 안성시 대덕면,51355
경기도 안성시 도기동,1415
경기도 안성시 미양면,5137655
경기도 안성시 보개면,1004643
경기도 안성시 삼죽면,80562
경기도 안성시 서운면,2375
경기도 안성시 신소현동,3023157
경기도 안성시 양성면,8242208
경기도 안성시 원곡면,1616224
경기도 안성시 일죽면,614378
경기도 안성시 죽산면,1466163
경기도 안성시 중리동,3674
경기도 안성시 현수동,5923
경기도 안양시동안구 관양동,94740
경기도 안양시동안구 평촌동,14704
경기도 안양시동안구 호계동,1971861
경기도 안양시만안구 박달동,10430
경기도 안양시만안구 석수동,4327
