주소,재산피해소계
경상북도 청도군 풍각면,1077802
경상북도 청도군 화양읍,116620
경상북도 청송군 주왕산면,25678
경상북도 청송군 파천면,4442
경상북도 청송군 현동면,2454
경상북도 칠곡군 가산면,3528509
경상북도 칠곡군 동명면,13920
경상북도 칠곡군 북삼읍,194864
경상북도 칠곡군 석적읍,1162462
경상북도 칠곡군 약목면,51230
경상북도 칠곡군 왜관읍,68312
경상북도 칠곡군 지천면,18116
경상북도 포항시남구 구룡포읍,1126
경상북도 포항시남구 대송면,7933
경상북도 포항시남구 동해면,5246
경상북도 포항시남구 송도동,480
경상북도 포항시남구 연일읍,13243
경상북도 포항시남구 오천읍,38050
경상북도 포항시남구 장기면,3251
경상북도 포항시남구 장흥동,54719
경상북도 포항시남구 호동,2116
경상북도 포항시남구 호미곶면,2228
경상북도 포항시북구 기계면,107630
경상북도 포항시북구 기북면,3438
경상북도 포항시북구 대신동,587
경상북도 포항시북구 신광면,17187
경상북도 포항시북구 죽도동,2757
경상북도 포항시북구 죽장면,36506
경상북도 포항시북구 청하면,16066
경상북도 포항시북구 흥해읍,39881
광주광역시 광산구 남산동,130
광주광역시 광산구 두정동,21190
광주광역시 광산구 비아동,96963
광주광역시 광산구 소촌동,8802
광주광역시 광산구 신창동,898773
광주광역시 광산구 안청동,7219
광주광역시 광산구 옥동,32921
광주광역시 광산구 요기동,174
광주광역시 광산구 용동,9397
광주광역시 광산구 우산동,383
광주광역시 광산구 운남동,2054
광주광역시 광산구 운수동,2044
광주광역시 광산구 월전동,5018
광주광역시 광산구 장덕동,161
광주광역시 광산구 장록동,75966
광주광역시 광산구 지죽동,12363
광주광역시 광산구 진곡동,8763
광주광역시 광산구 하남동,834
광주광역시 남구 송하동,8428
광주광역시 남구 승촌동,11517
광주광역시 남구 신장동,3948
광주광역시 남구 양과동,115266
광주광역시 동구 소태동,20374
광주광역시 북구 각화동,1218
광주광역시 북구 대촌동,37408
광주광역시 북구 동림동,1642
광주광역시 북구 문흥동,3052
광주광역시 북구 양산동,17221
광주광역시 북구 연제동,2731
광주광역시 북구 월출동,1075
광주광역시 북구 유동,240
광주광역시 북구 임동,2426
광주광역시 북구 중흥동,275
광주광역시 서구 광천동,4425
광주광역시 서구 덕흥동,12613
광주광역시 서구 매월동,4892
광주광역시 서구 서창동,682
대구광역시 남구 대명동,576
대구광역시 달서구 갈산동,255511
대구광역시 달서구 대천동,697321
대구광역시 달서구 두류동,15356
대구광역시 달서구 본동,3687
대구광역시 달서구 신당동,3384
대구광역시 달서구 월성동,2061
대구광역시 달서구 월암동,104342
대구광역시 달서구 장기동,363
대구광역시 달서구 장동,105585
대구광역시 달서구 파호동,253
대구광역시 달서구 호림동,0
대구광역시 달성군 구지면,192539
대구광역시 달성군 논공읍,124170
대구광역시 달성군 다사읍,83599
대구광역시 달성군 옥포읍,72603
대구광역시 달성군 유가읍,248035
대구광역시 달성군 하빈면,711579
대구광역시 달성군 현풍읍,35503
대구광역시 달성군 화원읍,380788
대구광역시 동구 검사동,4558
대구광역시 동구 덕곡동,536
대구광역시 동구 도동,14907
대구광역시 동구 동호동,47745
대구광역시 동구 둔산동,1558
대구광역시 동구 미대동,4891
대구광역시 동구 백안동,23740
대구광역시 동구 불로동,897
대구광역시 동구 사복동,8740
대구광역시 동구 상매동,331
대구광역시 북구 검단동,17976
대구광역시 북구 관음동,502
대구광역시 북구 국우동,0
대구광역시 북구 노원동1가,3718
대구광역시 북구 노원동2가,1477
대구광역시 북구 노원동3가,104924
대구광역시 북구 도남동,111
대구광역시 북구 복현동,8
대구광역시 북구 산격동,3937
대구광역시 북구 연경동,0
대구광역시 북구 조야동,1499
대구광역시 북구 침산동,68435
대구광역시 북구 팔달동,10420
대구광역시 서구 비산동,56566
대구광역시 서구 이현동,52788
대구광역시 서구 중리동,26825
대구광역시 서구 평리동,4694
대구광역시 수성구 고모동,1613
대구광역시 수성구 사월동,115220
대구광역시 중구 계산동1가,2444
대구광역시 중구 남산동,24570
대구광역시 중구 도원동,3787
대구광역시 중구 동인동1가,4598
대구광역시 중구 수창동,10481
대전광역시 대덕구 대화동,6745
대전광역시 대덕구 목상동,5042
대전광역시 대덕구 문평동,10968
대전광역시 대덕구 비래동,3911
대전광역시 대덕구 신일동,12837
대전광역시 대덕구 신탄진동,158
대전광역시 대덕구 오정동,108464
대전광역시 대덕구 읍내동,447
대전광역시 대덕구 평촌동,83296
대전광역시 동구 구도동,4834
대전광역시 동구 대별동,8109
대전광역시 동구 비룡동,1981
대전광역시 동구 상소동,576
대전광역시 동구 성남동,6774
대전광역시 서구 가장동,114
대전광역시 서구 괴정동,72
대전광역시 서구 매노동,292
대전광역시 서구 오동,99
대전광역시 서구 용촌동,1600
대전광역시 서구 월평동,3104
대전광역시 유성구 관평동,1597
대전광역시 유성구 구암동,25218
대전광역시 유성구 봉산동,2376
대전광역시 유성구 안산동,968
대전광역시 유성구 외삼동,99004
대전광역시 유성구 용계동,7608
대전광역시 유성구 원내동,126
대전광역시 유성구 자운동,1849
대전광역시 유성구 장대동,328
대전광역시 유성구 장동,11075
대전광역시 유성구 탑립동,2792
대전광역시 중구 문화동,1080
대전광역시 중구 산성동,2632
대전광역시 중구 석교동,15176
대전광역시 중구 안영동,2556
대전광역시 중구 유천동,87395
대전광역시 중구 중촌동,717
부산광역시 강서구 강동동,29621
부산광역시 강서구 구랑동,14395
부산광역시 강서구 대저1동,71640
부산광역시 강서구 대저2동,92355
부산광역시 강서구 명지동,57480
부산광역시 강서구 미음동,579
부산광역시 강서구 봉림동,12755
부산광역시 강서구 생곡동,4307
부산광역시 강서구 송정동,55085
부산광역시 강서구 신호동,9807
부산광역시 강서구 죽동동,365
부산광역시 강서구 지사동,990
부산광역시 강서구 화전동,75
부산광역시 금정구 금사동,73926
부산광역시 금정구 노포동,281
부산광역시 금정구 두구동,57087
부산광역시 금정구 선동,299116
부산광역시 금정구 회동동,10099
부산광역시 기장군 장안읍,3951
부산광역시 기장군 정관읍,962199
부산광역시 기장군 철마면,27925
부산광역시 남구 감만동,110
부산광역시 남구 대연동,300
부산광역시 동구 범일동,1100
부산광역시 동래구 명장동,103
부산광역시 동래구 사직동,266
부산광역시 동래구 온천동,100
부산광역시 부산진구 개금동,14981
부산광역시 부산진구 당감동,0
부산광역시 부산진구 범천동,10397
부산광역시 부산진구 부암동,91
부산광역시 부산진구 부전동,4377
부산광역시 부산진구 양정동,3050
부산광역시 부산진구 연지동,503
부산광역시 부산진구 초읍동,346
부산광역시 북구 구포동,11731
부산광역시 북구 만덕동,998
부산광역시 사상구 감전동,181680
부산광역시 사상구 괘법동,23834
부산광역시 사상구 덕포동,10316
부산광역시 사상구 모라동,12003
부산광역시 사상구 삼락동,80684
부산광역시 사상구 엄궁동,10970
부산광역시 사상구 주례동,94
부산광역시 사상구 학장동,63300
부산광역시 사하구 감천동,6803
부산광역시 사하구 괴정동,127
부산광역시 사하구 구평동,9720
부산광역시 사하구 다대동,3106
부산광역시 사하구 신평동,55452
부산광역시 사하구 장림동,5205
부산광역시 사하구 하단동,306
부산광역시 서구 남부민동,5061
부산광역시 서구 암남동,0
부산광역시 수영구 광안동,0
부산광역시 연제구 연산동,42094
부산광역시 영도구 남항동1가,81942
부산광역시 영도구 남항동3가,4905
부산광역시 영도구 대평동2가,12656
부산광역시 영도구 동삼동,2118
부산광역시 영도구 봉래동4가,106
부산광역시 영도구 청학동,1825
부산광역시 해운대구 반여동,5072
부산광역시 해운대구 우동,20233
부산광역시 해운대구 재송동,3861
서울특별시 강남구 논현동,28215
서울특별시 강남구 일원동,26456
서울특별시 강동구 고덕동,1026
서울특별시 강동구 성내동,143
서울특별시 강동구 천호동,6405
서울특별시 강북구 미아동,599
서울특별시 강서구 가양동,4085
서울특별시 강서구 개화동,91360
서울특별시 강서구 염창동,4834
서울특별시 관악구 봉천동,61812
서울특별시 광진구 군자동,15712
서울특별시 광진구 자양동,595
서울특별시 광진구 중곡동,3262
서울특별시 구로구 개봉동,8913
서울특별시 구로구 구로동,148523
서울특별시 구로구 신도림동,204
서울특별시 금천구 가산동,224400
서울특별시 금천구 독산동,257548
서울특별시 금천구 시흥동,864
서울특별시 노원구 공릉동,431
서울특별시 노원구 상계동,3355
서울특별시 노원구 중계동,32
서울특별시 도봉구 도봉동,52996
서울특별시 도봉구 방학동,440
서울특별시 도봉구 쌍문동,1878
서울특별시 도봉구 창동,324
서울특별시 동대문구 답십리동,44
서울특별시 동대문구 신설동,581
서울특별시 동대문구 용두동,32418
서울특별시 동대문구 장안동,147142
서울특별시 동대문구 제기동,86606
서울특별시 동대문구 회기동,296
서울특별시 동대문구 휘경동,1980
서울특별시 마포구 망원동,165
서울특별시 마포구 성산동,50
서울특별시 마포구 염리동,9115
서울특별시 서대문구 남가좌동,46
서울특별시 서초구 내곡동,3876
서울특별시 서초구 방배동,50
서울특별시 서초구 서초동,724
서울특별시 서초구 잠원동,12
서울특별시 성동구 금호동1가,1769
서울특별시 성동구 도선동,436
서울특별시 성동구 마장동,449833
서울특별시 성동구 성수동1가,1538
서울특별시 성동구 성수동2가,5493
서울특별시 성동구 송정동,5984
서울특별시 성동구 용답동,994
서울특별시 성동구 하왕십리동,16438
서울특별시 성동구 홍익동,499
서울특별시 성북구 동선동4가,200
서울특별시 성북구 보문동1가,838
서울특별시 성북구 상월곡동,36275
서울특별시 성북구 석관동,8767
서울특별시 성북구 성북동,100
서울특별시 성북구 안암동3가,145
서울특별시 성북구 장위동,954
서울특별시 성북구 정릉동,453
서울특별시 성북구 종암동,13596
서울특별시 송파구 가락동,34
서울특별시 송파구 마천동,81
서울특별시 송파구 문정동,1162
서울특별시 양천구 목동,50050
서울특별시 양천구 신월동,240
서울특별시 영등포구 당산동1가,117
서울특별시 영등포구 대림동,54
서울특별시 영등포구 문래동1가,83
서울특별시 영등포구 문래동3가,954
서울특별시 영등포구 문래동4가,3637
서울특별시 영등포구 양평동1가,2605
서울특별시 영등포구 양평동2가,3145
서울특별시 영등포구 양평동3가,27535
서울특별시 영등포구 양평동4가,198
서울특별시 영등포구 양화동,385
서울특별시 영등포구 여의도동,495
서울특별시 영등포구 영등포동2가,453
서울특별시 용산구 이촌동,808
서울특별시 은평구 갈현동,1462
서울특별시 은평구 진관동,174
서울특별시 종로구 견지동,9130
서울특별시 종로구 관수동,42
서울특별시 종로구 돈의동,6039
서울특별시 종로구 봉익동,63
서울특별시 종로구 숭인동,758
서울특별시 종로구 연지동,37006
서울특별시 종로구 원남동,152
서울특별시 종로구 장사동,14438
서울특별시 종로구 체부동,5
서울특별시 중구 남대문로3가,17401
서울특별시 중구 산림동,1735
서울특별시 중구 신당동,187164
서울특별시 중구 예장동,37744
서울특별시 중구 오장동,55
서울특별시 중구 을지로3가,16042
서울특별시 중구 을지로4가,478660
서울특별시 중구 을지로5가,10630
서울특별시 중구 인현동1가,157495
서울특별시 중구 충무로5가,55
서울특별시 중구 황학동,4103
서울특별시 중구 회현동1가,24785
서울특별시 중구 흥인동,12193
서울특별시 중랑구 망우동,1435
서울특별시 중랑구 면목동,70880
서울특별시 중랑구 묵동,303
세종특별자치시 세종 가람동,96152
세종특별자치시 세종 고운동,4753
세종특별자치시 세종 금남면,103761
세종특별자치시 세종 부강면,2645
세종특별자치시 세종 소정면,248130
세종특별자치시 세종 연기면,555
세종특별자치시 세종 연동면,54583
세종특별자치시 세종 연서면,6180
세종특별자치시 세종 장군면,60641
세종특별자치시 세종 전동면,132246
세종특별자치시 세종 전의면,383843
울산광역시 남구 남화동,375
울산광역시 남구 달동,152
울산광역시 남구 두왕동,126
울산광역시 남구 매암동,2200
울산광역시 남구 부곡동,3876
울산광역시 남구 성암동,4844532
울산광역시 남구 여천동,14643
울산광역시 남구 용연동,2805
울산광역시 남구 황성동,127415
울산광역시 동구 방어동,137995
울산광역시 북구 시례동,47457
울산광역시 북구 연암동,4961
울산광역시 북구 진장동,5267
울산광역시 북구 효문동,3300
울산광역시 울주군 두서면,135076
울산광역시 울주군 범서읍,60
울산광역시 울주군 삼남면,196477
울산광역시 울주군 삼동면,4179
울산광역시 울주군 상북면,8190
울산광역시 울주군 서생면,18992
울산광역시 울주군 언양읍,37855
울산광역시 울주군 온산읍,107714
울산광역시 울주군 온양읍,45792
울산광역시 울주군 웅촌면,12530
울산광역시 울주군 청량읍,469
울산광역시 중구 남외동,4489
울산광역시 중구 성남동,220
울산광역시 중구 학산동,9
인천광역시 강화군 강화읍,8623
인천광역시 강화군 교동면,264
인천광역시 강화군 길상면,329799
인천광역시 강화군 불은면,32988
인천광역시 강화군 삼산면,401
인천광역시 강화군 선원면,1136
인천광역시 강화군 양도면,12361
인천광역시 강화군 양사면,2218
인천광역시 강화군 하점면,15687
인천광역시 강화군 화도면,1185
인천광역시 계양구 계산동,1549
인천광역시 계양구 다남동,107
인천광역시 계양구 서운동,7866
인천광역시 계양구 선주지동,24459
인천광역시 계양구 이화동,756
인천광역시 계양구 작전동,503
인천광역시 계양구 하야동,5188
인천광역시 계양구 효성동,1757
인천광역시 남동구 간석동,104736
인천광역시 남동구 고잔동,2599432
인천광역시 남동구 구월동,1708
인천광역시 남동구 남촌동,225189
인천광역시 남동구 논현동,22952
인천광역시 남동구 만수동,196
인천광역시 남동구 운연동,1147
인천광역시 남동구 장수동,1349
인천광역시 동구 만석동,4760
인천광역시 동구 송림동,2950278
인천광역시 동구 송현동,134171
인천광역시 동구 화수동,75380
인천광역시 미추홀구 도화동,155013
인천광역시 미추홀구 문학동,103380
인천광역시 미추홀구 주안동,5140499
인천광역시 부평구 갈산동,24934
인천광역시 부평구 부개동,4380
인천광역시 부평구 부평동,1311
인천광역시 부평구 삼산동,4240
인천광역시 부평구 청천동,113622
인천광역시 서구 가좌동,229060
인천광역시 서구 경서동,761935
인천광역시 서구 공촌동,9657
인천광역시 서구 금곡동,10914
인천광역시 서구 대곡동,75344
인천광역시 서구 마전동,432
인천광역시 서구 백석동,978
인천광역시 서구 석남동,544795
인천광역시 서구 오류동,36947
인천광역시 서구 왕길동,4374
인천광역시 서구 원창동,211493
인천광역시 연수구 송도동,3599
인천광역시 옹진군 백령면,8060
인천광역시 중구 북성동1가,23577
인천광역시 중구 신흥동3가,4766
인천광역시 중구 운남동,2429
인천광역시 중구 운북동,65164
인천광역시 중구 운서동,27
인천광역시 중구 중산동,1700
인천광역시 중구 항동7가,207997
전라남도 강진군 강진읍,21842
전라남도 강진군 군동면,4182
전라남도 강진군 대구면,42152
전라남도 강진군 도암면,13202
전라남도 강진군 마량면,965
전라남도 강진군 성전면,231477
전라남도 강진군 신전면,47574
전라남도 강진군 옴천면,47684
전라남도 강진군 작천면,24784
전라남도 강진군 칠량면,4583
전라남도 고흥군 고흥읍,29847
전라남도 고흥군 과역면,785
전라남도 고흥군 금산면,71391
전라남도 고흥군 남양면,20591
전라남도 고흥군 대서면,146
전라남도 고흥군 도덕면,983
전라남도 고흥군 도양읍,731
전라남도 고흥군 동강면,2074
전라남도 고흥군 두원면,217013
전라남도 고흥군 봉래면,679
전라남도 고흥군 영남면,9305
전라남도 고흥군 점암면,472
전라남도 고흥군 포두면,28453
전라남도 고흥군 풍양면,9718
전라남도 곡성군 곡성읍,39778
전라남도 곡성군 오곡면,1834
전라남도 곡성군 입면,148201
전라남도 광양시 광양읍,67691
전라남도 광양시 금호동,427900
전라남도 광양시 봉강면,5851
전라남도 광양시 성황동,3499
전라남도 광양시 옥곡면,36329
전라남도 광양시 옥룡면,1260
전라남도 광양시 진상면,3608
전라남도 광양시 진월면,200
전라남도 광양시 태인동,173565
전라남도 구례군 간전면,2913
전라남도 구례군 광의면,92199
전라남도 구례군 구례읍,17120
전라남도 구례군 마산면,4456
전라남도 구례군 산동면,128
전라남도 구례군 용방면,60
전라남도 나주시 공산면,6214
전라남도 나주시 금천면,29542
전라남도 나주시 남평읍,2199
전라남도 나주시 노안면,147467
전라남도 나주시 동수동,110
전라남도 나주시 문평면,24879
전라남도 나주시 반남면,7166
전라남도 나주시 봉황면,4185
전라남도 나주시 산포면,3109
전라남도 나주시 세지면,5212
전라남도 나주시 왕곡면,118989
전라남도 나주시 운곡동,1940347
전라남도 담양군 고서면,10365
전라남도 담양군 금성면,7288
전라남도 담양군 담양읍,8305
전라남도 담양군 대전면,1712
전라남도 담양군 무정면,30560
전라남도 담양군 봉산면,76686
전라남도 담양군 수북면,201238
전라남도 담양군 용면,22787
전라남도 담양군 창평면,170
전라남도 목포시 금화동,8875
전라남도 목포시 달동,969
전라남도 목포시 대양동,14
전라남도 목포시 동명동,2092
전라남도 목포시 산정동,5153
전라남도 목포시 상동,85
전라남도 목포시 석현동,347
전라남도 목포시 연산동,886
전라남도 목포시 옥암동,74
전라남도 무안군 몽탄면,105165
전라남도 무안군 삼향읍,776
전라남도 무안군 운남면,9390
전라남도 무안군 일로읍,10508
전라남도 무안군 청계면,264
전라남도 무안군 해제면,5699
전라남도 무안군 현경면,867456
전라남도 보성군 득량면,9475
전라남도 보성군 벌교읍,822
전라남도 보성군 보성읍,300
전라남도 보성군 율어면,150
전라남도 보성군 조성면,1408
전라남도 보성군 회천면,49269
전라남도 순천시 교량동,5983
전라남도 순천시 낙안면,283
전라남도 순천시 남정동,5236
전라남도 순천시 대룡동,38786
전라남도 순천시 별량면,17875
전라남도 순천시 상사면,3193
전라남도 순천시 서면,22428
전라남도 순천시 석현동,8726
전라남도 순천시 승주읍,189674
전라남도 순천시 왕지동,224
전라남도 순천시 조곡동,8007
전라남도 순천시 조례동,346618
전라남도 순천시 주암면,3023
전라남도 순천시 풍덕동,5973
전라남도 순천시 해룡면,24820
전라남도 순천시 황전면,54356
전라남도 신안군 도초면,10095
전라남도 신안군 비금면,26691
전라남도 신안군 안좌면,1041
전라남도 신안군 압해읍,2341
전라남도 신안군 임자면,6077
전라남도 신안군 지도읍,3646
전라남도 신안군 흑산면,16039
전라남도 여수시 낙포동,12402
전라남도 여수시 돌산읍,7575
전라남도 여수시 만흥동,454657
전라남도 여수시 소라면,309547
전라남도 여수시 월하동,693
전라남도 여수시 율촌면,2920027
전라남도 여수시 종화동,2112
전라남도 여수시 중흥동,10261
전라남도 여수시 평여동,33660
전라남도 여수시 화양면,88338
전라남도 여수시 화정면,28
전라남도 여수시 화치동,123484
전라남도 영광군 군서면,96763
전라남도 영광군 대마면,274082
전라남도 영광군 묘량면,26043
전라남도 영광군 백수읍,107336
전라남도 영광군 법성면,40294
전라남도 영광군 염산면,116124
전라남도 영광군 영광읍,10799
전라남도 영광군 홍농읍,2112
전라남도 영암군 군서면,9543
전라남도 영암군 덕진면,1501
전라남도 영암군 도포면,2118
전라남도 영암군 미암면,14519
전라남도 영암군 삼호읍,407684
전라남도 영암군 시종면,531
전라남도 영암군 신북면,3513
전라남도 영암군 영암읍,9101
전라남도 영암군 학산면,7956
전라남도 완도군 고금면,10042
전라남도 완도군 군외면,9847
전라남도 완도군 금일읍,6790
전라남도 완도군 노화읍,51694
전라남도 완도군 소안면,19254
전라남도 완도군 신지면,1233395
전라남도 완도군 완도읍,98021
전라남도 완도군 청산면,449
전라남도 장성군 남면,4935
전라남도 장성군 동화면,2019
전라남도 장성군 북일면,41717
전라남도 장성군 삼계면,39161
전라남도 장성군 삼서면,55
전라남도 장성군 서삼면,142404
전라남도 장성군 장성읍,127
전라남도 장성군 진원면,2157
전라남도 장성군 황룡면,86542
전라남도 장흥군 관산읍,163578
전라남도 장흥군 대덕읍,42302
전라남도 장흥군 부산면,664
전라남도 장흥군 안양면,2882
전라남도 장흥군 용산면,87096
전라남도 장흥군 장평면,6102
전라남도 장흥군 장흥읍,16210
전라남도 장흥군 회진면,6139
전라남도 진도군 고군면,706
전라남도 진도군 군내면,468
전라남도 진도군 의신면,256
전라남도 진도군 지산면,6660
전라남도 진도군 진도읍,60
전라남도 함평군 대동면,483
전라남도 함평군 손불면,4082
전라남도 함평군 학교면,173999
전라남도 함평군 함평읍,3643
전라남도 해남군 계곡면,32926
전라남도 해남군 마산면,40797
전라남도 해남군 산이면,103850
전라남도 해남군 삼산면,271
전라남도 해남군 송지면,328392
전라남도 해남군 옥천면,2940
전라남도 해남군 해남읍,10445
전라남도 해남군 화산면,33875
전라남도 해남군 황산면,35936
전라남도 화순군 도곡면,281
전라남도 화순군 동면,7822
전라남도 화순군 춘양면,3622
전라남도 화순군 화순읍,266499
전라북도 고창군 고수면,10674
전라북도 고창군 고창읍,122248
전라북도 고창군 공음면,6154
전라북도 고창군 대산면,6229
전라북도 고창군 상하면,19013
전라북도 고창군 심원면,1116047
전라북도 고창군 아산면,41272
전라북도 고창군 흥덕면,5275
전라북도 군산시 개사동,6816
전라북도 군산시 구암동,680
전라북도 군산시 나운동,1607
전라북도 군산시 나포면,97227
전라북도 군산시 비응도동,50030
전라북도 군산시 사정동,24639
전라북도 군산시 산북동,2734
전라북도 군산시 서수면,16943
전라북도 군산시 성산면,6389
전라북도 군산시 소룡동,80419
전라북도 군산시 오식도동,3943
전라북도 군산시 옥구읍,137
전라북도 군산시 옥산면,2045
전라북도 군산시 임피면,1281
전라북도 군산시 조촌동,16596
전라북도 김제시 공덕면,801381
전라북도 김제시 광활면,5820
전라북도 김제시 금구면,9950
전라북도 김제시 금산면,82402
전라북도 김제시 만경읍,21903
전라북도 김제시 백구면,23638
전라북도 김제시 백산면,28993
전라북도 김제시 봉남면,4249
전라북도 김제시 부량면,2511
전라북도 김제시 상동동,1647
전라북도 김제시 순동,8591
전라북도 김제시 신덕동,50
전라북도 김제시 연정동,4627
전라북도 김제시 입석동,1999
전라북도 김제시 진봉면,195
전라북도 김제시 황산동,2151
전라북도 김제시 황산면,259038
전라북도 김제시 흥사동,8885
전라북도 남원시 금지면,365
전라북도 남원시 덕과면,9326
전라북도 남원시 보절면,4012
전라북도 남원시 송동면,38658
전라북도 남원시 수지면,35355
전라북도 남원시 신정동,9514
전라북도 남원시 아영면,1582
전라북도 남원시 용정동,1058
전라북도 남원시 운봉읍,8331
전라북도 남원시 이백면,174924
전라북도 남원시 인월면,13697
전라북도 남원시 주생면,1614
전라북도 남원시 주천면,5765
전라북도 무주군 무주읍,939
전라북도 무주군 무풍면,39192
전라북도 무주군 안성면,4950
전라북도 무주군 적상면,4986
전라북도 부안군 계화면,47559
전라북도 부안군 동진면,4186
전라북도 부안군 백산면,7623
전라북도 부안군 보안면,24370
전라북도 부안군 부안읍,2313
전라북도 부안군 상서면,448
전라북도 부안군 줄포면,124288
전라북도 부안군 행안면,7774
전라북도 순창군 구림면,572
전라북도 순창군 동계면,222251
전라북도 순창군 순창읍,31906
전라북도 순창군 인계면,229
전라북도 순창군 적성면,888
전라북도 순창군 풍산면,2821
전라북도 완주군 고산면,23422
전라북도 완주군 구이면,3505
전라북도 완주군 봉동읍,83343
전라북도 완주군 삼례읍,263
전라북도 완주군 소양면,22027
전라북도 완주군 용진읍,13507
전라북도 완주군 화산면,181792
전라북도 익산시 금강동,405
전라북도 익산시 금마면,444
전라북도 익산시 낭산면,2630
전라북도 익산시 망성면,6652
전라북도 익산시 부송동,431
전라북도 익산시 삼기면,9053
전라북도 익산시 성당면,3015
전라북도 익산시 신흥동,12925
전라북도 익산시 어양동,393
전라북도 익산시 여산면,321719
전라북도 익산시 영등동,1691
전라북도 익산시 오산면,112036
전라북도 익산시 왕궁면,114611
전라북도 익산시 용안면,496
전라북도 익산시 용제동,3282
전라북도 익산시 춘포면,131893
전라북도 익산시 팔봉동,2334
전라북도 익산시 함라면,65259
전라북도 익산시 함열읍,2930
전라북도 익산시 황등면,6975
전라북도 임실군 강진면,4274
전라북도 임실군 관촌면,309
전라북도 임실군 덕치면,264265
전라북도 임실군 신덕면,1320
전라북도 임실군 오수면,279943
전라북도 임실군 임실읍,10691
전라북도 장수군 번암면,1026161
전라북도 장수군 산서면,6244
전라북도 장수군 장계면,105
전라북도 장수군 장수읍,37631
전라북도 장수군 천천면,5852
전라북도 전주시덕진구 금상동,402932
전라북도 전주시덕진구 동산동,6968
전라북도 전주시덕진구 성덕동,11
전라북도 전주시덕진구 여의동,58935
전라북도 전주시덕진구 우아동3가,100
전라북도 전주시덕진구 원동,1896
전라북도 전주시덕진구 인후동1가,561
전라북도 전주시덕진구 인후동2가,1559
전라북도 전주시덕진구 팔복동1가,1413
전라북도 전주시덕진구 팔복동2가,19709
전라북도 전주시덕진구 팔복동3가,8417
전라북도 전주시덕진구 팔복동4가,3381
전라북도 전주시덕진구 호성동1가,29151
전라북도 전주시완산구 상림동,1818
전라북도 전주시완산구 색장동,6139
전라북도 전주시완산구 서신동,273
전라북도 전주시완산구 중노송동,66
전라북도 전주시완산구 중화산동2가,8467
전라북도 전주시완산구 평화동1가,100
전라북도 전주시완산구 평화동3가,3403
전라북도 정읍시 감곡면,77405
전라북도 정읍시 농소동,559
전라북도 정읍시 덕천면,182413
전라북도 정읍시 북면,53298
전라북도 정읍시 산외면,52138
전라북도 정읍시 소성면,1497
전라북도 정읍시 신태인읍,11846
전라북도 정읍시 영원면,1178
전라북도 정읍시 영파동,6557
전라북도 정읍시 옹동면,278179
전라북도 정읍시 입암면,8229
전라북도 정읍시 정우면,11472
전라북도 정읍시 칠보면,13590
전라북도 정읍시 태인면,49105
전라북도 정읍시 하북동,1705
전라북도 진안군 마령면,389848
전라북도 진안군 성수면,296674
전라북도 진안군 용담면,313
전라북도 진안군 주천면,423
전라북도 진안군 진안읍,14490
제주특별자치도 서귀포시 강정동,15569
제주특별자치도 서귀포시 남원읍,39221
제주특별자치도 서귀포시 대정읍,214814
제주특별자치도 서귀포시 보목동,9489
제주특별자치도 서귀포시 상예동,1586
제주특별자치도 서귀포시 상효동,1101
제주특별자치도 서귀포시 성산읍,3263
제주특별자치도 서귀포시 신효동,14391
제주특별자치도 서귀포시 안덕면,36064
제주특별자치도 서귀포시 토평동,11539
제주특별자치도 서귀포시 표선면,17074
제주특별자치도 서귀포시 하효동,397
제주특별자치도 서귀포시 회수동,1260
제주특별자치도 제주시 구좌읍,155861
제주특별자치도 제주시 도두이동,86912
제주특별자치도 제주시 도두일동,247
제주특별자치도 제주시 애월읍,18252
제주특별자치도 제주시 오등동,397
제주특별자치도 제주시 오라삼동,3784
제주특별자치도 제주시 외도일동,242379
제주특별자치도 제주시 용담일동,145
제주특별자치도 제주시 월평동,6715
제주특별자치도 제주시 이도일동,7194
제주특별자치도 제주시 조천읍,10471
제주특별자치도 제주시 한경면,6908
제주특별자치도 제주시 한림읍,35887
제주특별자치도 제주시 화북이동,1789
제주특별자치도 제주시 화북일동,377
충청남도 계룡시 금암동,32112
충청남도 계룡시 두마면,455
충청남도 공주시 계룡면,13214
충청남도 공주시 무릉동,431
충청남도 공주시 사곡면,178575
충청남도 공주시 신기동,178
충청남도 공주시 신풍면,69416
충청남도 공주시 우성면,6443
충청남도 공주시 월미동,117660
충청남도 공주시 유구읍,1249
충청남도 공주시 의당면,4622
충청남도 공주시 정안면,95386
충청남도 공주시 탄천면,64525
충청남도 금산군 군북면,236364
충청남도 금산군 금산읍,92933
충청남도 금산군 금성면,493
충청남도 금산군 복수면,1107
충청남도 금산군 추부면,253
충청남도 논산시 가야곡면,45478
충청남도 논산시 광석면,45956
충청남도 논산시 노성면,6086
충청남도 논산시 등화동,2467
충청남도 논산시 부적면,15459
충청남도 논산시 부창동,542
충청남도 논산시 상월면,5800
충청남도 논산시 성동면,81340
충청남도 논산시 양촌면,14326
충청남도 논산시 연무읍,441378
충청남도 논산시 연산면,5020
충청남도 논산시 은진면,102917
충청남도 논산시 지산동,1887
충청남도 논산시 채운면,12626
충청남도 당진시 고대면,7895
충청남도 당진시 대호지면,191
충청남도 당진시 면천면,85255
충청남도 당진시 석문면,50807
충청남도 당진시 송산면,628
충청남도 당진시 송악읍,272527
충청남도 당진시 순성면,15665
